words	freq	n	p
乞警	104	2	8.86189E-06
愚弱微	104	3	8.86189E-06
炒燃	103	2	8.77667E-06
盲反友	103	3	8.77667E-06
蟲國人	103	3	8.77667E-06
低九死	102	3	8.69146E-06
販狗	101	2	8.60625E-06
逃狗申	101	3	8.60625E-06
支麻人	100	3	8.52104E-06
譚得菜	99	3	8.43583E-06
吊拿星	98	3	8.35062E-06
窮狗	98	2	8.35062E-06
林胃屍	98	3	8.35062E-06
鶴聯	98	2	8.35062E-06
泥厠嬰	98	3	8.35062E-06
雞卿	97	2	8.26541E-06
燈神燒	97	3	8.26541E-06
共貪黨	97	3	8.26541E-06
思煙	97	2	8.26541E-06
燒九	96	2	8.1802E-06
膠藍絲	96	3	8.1802E-06
張溶	96	2	8.1802E-06
弱痴	95	2	8.09499E-06
奶共官	95	3	8.09499E-06
習腫	95	2	8.09499E-06
終国人	95	3	8.09499E-06
屈妓	95	2	8.09499E-06
chi lun sin	94	11	8.00978E-06
媽西	94	2	8.00978E-06
何韻屍	94	3	8.00978E-06
傻根	94	2	8.00978E-06
倭畜	93	2	7.92457E-06
岑屎傑	93	3	7.92457E-06
李漢姦	93	3	7.92457E-06
倭賊	92	2	7.83936E-06
磚業人士	92	4	7.83936E-06
腦帽	91	2	7.75415E-06
含燃	91	2	7.75415E-06
膠協	91	2	7.75415E-06
死港奸	91	3	7.75415E-06
豬海敵	91	3	7.75415E-06
社福棍	91	3	7.75415E-06
凸頭	91	2	7.75415E-06
張乳淫	91	3	7.75415E-06
妖畜	90	2	7.66894E-06
魯武	90	2	7.66894E-06
關你七事	90	4	7.66894E-06
奶共西	90	3	7.66894E-06
瀉工	90	2	7.66894E-06
小三卿	90	3	7.66894E-06
無七用	89	3	7.58373E-06
雜畜	89	2	7.58373E-06
意猿	89	2	7.58373E-06
鳭	88	1	7.49852E-06
定母	88	2	7.49852E-06
打染	88	2	7.49852E-06
老柱冥	88	3	7.49852E-06
扑野禎	87	3	7.41331E-06
垃圾無腦	86	4	7.3281E-06
郁狗	86	2	7.3281E-06
偉孽	86	2	7.3281E-06
克醫	86	2	7.3281E-06
肥系	85	2	7.24289E-06
狂痴	85	2	7.24289E-06
土共蝗	85	3	7.24289E-06
蟈蟈	85	2	7.24289E-06
低智狗	84	3	7.15768E-06
含曬	84	2	7.15768E-06
香討狗	84	3	7.15768E-06
豬鋒	84	2	7.15768E-06
大口珠	84	3	7.15768E-06
茂利波	84	3	7.15768E-06
韓奸	83	2	7.07247E-06
豬基	83	2	7.07247E-06
花輪功	83	3	7.07247E-06
駛西	82	2	6.98726E-06
黑社民	82	3	6.98726E-06
何壞仁	82	3	6.98726E-06
狗嘿	81	2	6.90205E-06
算狗數	81	3	6.90205E-06
串普	81	2	6.90205E-06
逼暈	81	2	6.90205E-06
能羊	80	2	6.81683E-06
